Table 1-3,,,,,,,,,,,,,,
"Research doctorate recipients, by historical major field of doctorate: Selected years, 1992–2022",,,,,,,,,,,,,,
(Number and percent),,,,,,,,,,,,,,
Field of doctorate,1992,,1997,,2002,,2007,,2012,,2017,,2022,
,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent
All fields,"38,886",100.0,"42,539",100.0,"40,031",100.0,"48,132",100.0,"50,943",100.0,"54,552",100.0,"57,596",100.0
Life sciences,"7,172",18.4,"8,421",19.8,"8,478",21.2,"10,702",22.2,"11,964",23.5,"12,554",23.0,"13,211",22.9
Agricultural sciences and natural resources,"1,261",3.2,"1,212",2.8,"1,129",2.8,"1,321",2.7,"1,255",2.5,"1,493",2.7,"1,434",2.5
Biological and biomedical sciences,"4,799",12.3,"5,788",13.6,"5,695",14.2,"7,238",15.0,"8,322",16.3,"8,566",15.7,"9,218",16.0
Health sciences,"1,112",2.9,"1,421",3.3,"1,654",4.1,"2,143",4.5,"2,387",4.7,"2,495",4.6,"2,559",4.4
Physical sciences and earth sciences,"4,517",11.6,"4,550",10.7,"3,875",9.7,"4,956",10.3,"5,419",10.6,"6,082",11.1,"6,649",11.5
Chemistry,"2,213",5.7,"2,148",5.0,"1,922",4.8,"2,318",4.8,"2,416",4.7,"2,699",4.9,"3,060",5.3
"Geosciences, atmospheric sciences, and ocean sciences",767,2.0,803,1.9,689,1.7,875,1.8,941,1.8,"1,169",2.1,"1,181",2.1
Physics and astronomy,"1,537",4.0,"1,599",3.8,"1,264",3.2,"1,763",3.7,"2,062",4.0,"2,214",4.1,"2,408",4.2
Mathematics and computer sciences,"1,927",5.0,"2,032",4.8,"1,729",4.3,"3,042",6.3,"3,496",6.9,"3,842",7.0,"4,854",8.4
Computer and information sciences,869,2.2,909,2.1,809,2.0,"1,654",3.4,"1,793",3.5,"1,998",3.7,"2,606",4.5
Mathematics and statistics,"1,058",2.7,"1,123",2.6,920,2.3,"1,388",2.9,"1,703",3.3,"1,844",3.4,"2,248",3.9
Psychology and social sciences,"6,562",16.9,"7,369",17.3,"6,925",17.3,"7,309",15.2,"8,498",16.7,"9,034",16.6,"9,235",16.0
Psychology,"3,262",8.4,"3,557",8.4,"3,207",8.0,"3,276",6.8,"3,599",7.1,"3,925",7.2,"3,990",6.9
Anthropology,320,0.8,434,1.0,496,1.2,512,1.1,547,1.1,446,0.8,415,0.7
Economics,910,2.3,"1,030",2.4,908,2.3,"1,004",2.1,"1,243",2.4,"1,239",2.3,"1,287",2.2
Political science and government,513,1.3,665,1.6,606,1.5,588,1.2,724,1.4,743,1.4,678,1.2
Sociology,495,1.3,577,1.4,547,1.4,576,1.2,633,1.2,683,1.3,611,1.1
Other social sciences,"1,062",2.7,"1,106",2.6,"1,161",2.9,"1,353",2.8,"1,752",3.4,"1,998",3.7,"2,254",3.9
Engineering,"5,438",14.0,"6,114",14.4,"5,081",12.7,"7,749",16.1,"8,469",16.6,"9,776",17.9,"11,530",20.0
"Aerospace, aeronautical, and astronautical engineering",234,0.6,273,0.6,209,0.5,267,0.6,307,0.6,379,0.7,374,0.6
Bioengineering and biomedical engineering,147,0.4,211,0.5,246,0.6,637,1.3,943,1.9,"1,032",1.9,"1,228",2.1
Chemical engineering,607,1.6,662,1.6,607,1.5,817,1.7,840,1.6,931,1.7,"1,142",2.0
Civil engineering,540,1.4,592,1.4,540,1.3,703,1.5,495,1.0,713,1.3,898,1.6
"Electrical, electronics, and communications engineering","1,278",3.3,"1,460",3.4,"1,212",3.0,"1,967",4.1,"1,938",3.8,"1,879",3.4,"2,193",3.8
Industrial and manufacturing engineering,196,0.5,246,0.6,230,0.6,279,0.6,226,0.4,249,0.5,381,0.7
Materials science engineering,365,0.9,483,1.1,364,0.9,646,1.3,743,1.5,937,1.7,"1,136",2.0
Mechanical engineering,855,2.2,929,2.2,771,1.9,"1,071",2.2,"1,220",2.4,"1,398",2.6,"1,676",2.9
Other engineering,"1,216",3.1,"1,258",3.0,902,2.3,"1,362",2.8,"1,757",3.4,"2,258",4.1,"2,502",4.3
Education,"6,677",17.2,"6,577",15.5,"6,508",16.3,"6,448",13.4,"4,802",9.4,"4,826",8.8,"4,509",7.8
Education administration,"1,984",5.1,"2,050",4.8,"2,351",5.9,"2,161",4.5,"1,057",2.1,922,1.7,734,1.3
Education research,"2,503",6.4,"2,695",6.3,"2,776",6.9,"2,671",5.5,"2,516",4.9,"2,373",4.3,"2,289",4.0
Teacher education,407,1.0,291,0.7,262,0.7,297,0.6,156,0.3,114,0.2,110,0.2
Teaching fields,"1,008",2.6,919,2.2,686,1.7,873,1.8,757,1.5,925,1.7,890,1.5
Other education,775,2.0,622,1.5,433,1.1,446,0.9,316,0.6,492,0.9,486,0.8
Humanities and arts,"4,387",11.3,"5,285",12.4,"5,297",13.2,"5,085",10.6,"5,561",10.9,"5,286",9.7,"4,464",7.8
Foreign languages and literature,562,1.4,652,1.5,627,1.6,607,1.3,684,1.3,618,1.1,442,0.8
History,724,1.9,965,2.3,"1,031",2.6,937,1.9,"1,086",2.1,"1,058",1.9,750,1.3
Letters,"1,278",3.3,"1,550",3.6,"1,455",3.6,"1,340",2.8,"1,638",3.2,"1,462",2.7,"1,292",2.2
Other humanities and arts,"1,823",4.7,"2,118",5.0,"2,184",5.5,"2,201",4.6,"2,153",4.2,"2,148",3.9,"1,980",3.4
Other,"2,206",5.7,"2,191",5.2,"2,138",5.3,"2,841",5.9,"2,734",5.4,"3,152",5.8,"3,144",5.5
Business management and administration,"1,248",3.2,"1,245",2.9,"1,113",2.8,"1,506",3.1,"1,404",2.8,"1,565",2.9,"1,450",2.5
Communication,330,0.8,331,0.8,397,1.0,560,1.2,595,1.2,622,1.1,580,1.0
Non-science and engineering fields nec,628,1.6,615,1.4,628,1.6,775,1.6,735,1.4,965,1.8,"1,114",1.9
